id_municipio,id_municipio_tse,aptos
3128105,45616,10867
3128204,45632,8272
3128253,42188,4901
3128303,45659,15367
3128402,45675,6952
3128501,45691,3548
3128600,45713,5915
3128709,45730,38732
3128808,45756,6403
3128907,45772,6922
3129004,45799,7226
3129103,45810,5000
3129202,45837,5127
3129301,45853,8550
3129400,45870,4983
3129509,45896,17187
3129608,45918,6558
3129657,42200,5945
3129707,45934,9110
3129806,45950,125613
3129905,45977,3325
3130002,45993,2557
3130051,40240,8437
3130101,46019,31870
3130200,46035,8101
3130309,46051,6451
3130408,46078,5396
3130507,46094,9824
3130556,42226,5342
3130606,46116,6358
3130655,42242,6258
3130705,46132,4877
3130804,46159,2477
3130903,46175,20137
3131000,46191,5721
3131109,46213,6285
3131158,40266,14062
3131208,46230,15549
3131307,46256,180176
3131406,46272,3691
3131505,46299,7762
3131604,46310,6096
3131703,46337,91094
3131802,46353,8151
3131901,46370,42901
3132008,46396,4578
3132107,46418,13692
3132206,46434,10865
3132305,46450,9285
3132404,46477,73287
3132503,46493,25662
3132602,46515,3637
3132701,46531,18459
3132800,46558,2491
3132909,46574,9319
3133006,46590,11925
3133105,46612,12483
3133204,46639,9654
3133303,46655,16429
3133402,46671,10277
3133501,46698,17869
3133600,46710,8499
3133709,46736,10516
3133758,54453,12316
3133808,46752,71232
3133907,46779,5635
3134004,46795,11263
3134103,46817,4954
3134202,46833,77091
3134301,46850,6023
3134400,46876,30125
3134509,46892,3752
3134608,46914,15047
3134707,46930,9191
3134806,46957,6414
3134905,46973,18947
3135001,46990,3137
3135050,40282,25207
3135076,40304,4296
3135100,47015,52918
3135209,47031,50509
3135308,47058,3488
3135357,42269,8345
3135407,47074,5985
3135456,42285,5948
3135506,47090,10352
3135605,47112,6648
3135704,47139,5812
3135803,47155,18163
3135902,47171,4251
3136009,47198,10889
3136108,47210,5028
3136207,47236,60517
3136306,47252,38168
3136405,47279,3485
3136504,47295,7687
3136520,42307,3787
3136553,42323,4239
3136579,40924,3430
3136603,47317,5554
3136652,40320,22889
3136702,47333,419353
3136801,47350,4476
3136900,47376,9027
3136959,40940,5636
3137007,47392,12310
3137106,47414,6486
3137205,47430,36407
3137304,47457,3759
3137403,47473,10064
3137502,47490,14659
3137536,40347,7459
3137601,47511,49584
3137700,47538,14889
3137809,47554,16948
3137908,47570,3518
3138005,47597,5582
3138104,47619,5817
3138203,47635,74499
3138302,47651,3323
3138351,40967,4242
3138401,47678,41030
3138500,47694,4421
3138609,47716,14575
3138625,40363,6094
3138658,40380,8260
3138674,40983,5579
3138682,41009,6482
3138708,47732,4452
3138807,47759,14842
3138906,47775,6001
3139003,47791,30235
3139102,47813,4329
3139201,47830,15563
3139250,40401,5634
3139300,47856,16166
3139409,47872,60241
3139508,47899,17103
3139607,47910,20760
3139706,47937,6278
3139805,47953,10029
3139904,47970,12111
3140001,47996,50731
3140100,48011,4450
3140159,41025,12398
3140209,48038,3000
3140308,48054,4292
3140407,48070,2916
3140506,48097,11488
3140530,41041,7772
3140555,40428,6778
3140605,48119,4445
3140704,48135,27500
3140803,48151,11979
3140852,40444,6964
3140902,48178,14062
3141009,48194,10619
3141108,48216,30069
3141207,48232,3481
3141306,48259,3108
3141405,48275,16184
3141504,48291,5227
3141603,48313,8795
3141702,48330,5557
3141801,48356,22359
3141900,48372,3292
3142007,48399,11499
3142106,48410,8088
3142205,48437,10546
3142254,41068,4049
3142304,48453,4969
3142403,48470,6684
3142502,48496,2293
3142601,48518,6950
3142700,48534,13064
3142809,48550,15459
3142908,48577,17531
3143005,48593,10976
3143104,48615,36381
3143153,41084,4530
3143203,48631,17280
3143302,48658,288433
3143401,48674,18576
3143450,40460,5943
3143500,48690,7297
3143609,48712,2852
3143708,48739,3681
3143807,48755,5926
3143906,48771,78180
3144003,48798,21386
3144102,48810,18046
3144201,48836,2907
3144300,48852,29719
3144359,40487,5439
3144375,41106,3092
3144409,48879,4109
3144508,48895,6537
3144607,48917,20948
3144656,41122,8341
3144672,41149,3629
3144706,48933,15051
3144805,48950,76347
3144904,48976,3669
3145000,48992,12637
3145059,41165,5699
3145109,49018,12885
3145208,49034,59483
3145307,49050,24848
3145356,40509,8992
3145372,41181,4762
3145406,49077,2265
3145455,41203,5306
3145505,49093,2662
3145604,49115,33361
3145703,49131,2422
3145802,49158,3313
3145851,41220,4440
3145877,41246,6438
3145901,49174,31447
3146008,49190,25223
3146107,49212,63593
3146206,49239,7037
3146255,41262,4968
3146305,49255,14155
3146404,49271,4223
3146503,49298,6811
3146552,41289,5335
3146602,49310,1754
3146701,49336,5352
3146750,40525,6166
3146909,49379,11460
3147006,49395,66565
3147105,49417,65994
3147204,49433,16917
3147303,49450,16432
3147402,49476,20124
3147501,49492,1815
3147600,49514,13348
3147709,49530,7633
3147808,49557,2224
3147907,49573,80615
3147956,41300,5267
3148004,49590,114390
3148103,49611,67715
3148202,49638,5176
3148301,49654,7745
3148400,49670,4306
3148509,49697,6220
3148608,49719,13549
3148707,49735,18536
3148756,41327,5760
3148806,49751,3263
3148905,49778,3628
3149002,49794,2738
3149101,49816,9502
3149150,40541,7900
3149200,49832,3146
3149309,49859,48402
3149408,49875,2323
3149507,49891,3205
3149606,49913,3660
3149705,49930,8062
3149804,49956,13552
3149903,49972,17256
3149952,40568,6547
3150000,49999,3577
3150109,50016,3031
3150158,41343,7994
3150208,50032,3833
3150307,50059,4085
3150406,50075,5040
3150505,50091,6967
3150539,41360,4147
3150570,41386,6507
3150604,50113,5582
3150703,50130,4376
3150802,50156,13867
3150901,50172,4649
3151008,50199,7144
3151107,50210,9825
3151206,50237,41385
3151305,50253,9626
3151404,50270,21172
3151503,50296,25611
3151602,50318,8307
3151701,50334,13003
3151800,50350,122534
3151909,50377,7445
3152006,50393,24181
3152105,50415,44716
3152131,41408,3854
3152170,40584,9443
3152204,50431,31299
3152303,50458,9116
3152402,50474,12528
3152501,50490,109143
3152600,50512,5521
3152709,50539,7313
3152808,50555,22201
3152907,50571,7472
3153004,50598,2992
3153103,50610,5668
3153202,50636,4107
3153301,50652,2916
3153400,50679,16419
3153509,50695,6983
3153608,50717,8128
3153707,50733,3292
3153806,50750,2525
3153905,50776,13324
3154002,50792,18113
3154101,50814,7910
3154150,41424,5848
3154200,50830,9364
3154309,50857,13071
3154408,50873,4246
3154457,40606,5669
3154507,50890,7831
3154606,50911,224164
3154705,50938,3308
3154804,50954,8553
3154903,50970,11103
3155009,50997,2474
3155108,51012,4251
3155207,51039,5590
3155306,51055,4722
3155405,51071,7267
3155504,51098,11074
3155603,51110,21495
3155702,51136,12373
3155801,51152,14218
3155900,51179,5285
3156007,51195,10837
3156106,51217,4691
3156205,51233,2435
3156304,51250,6671
3156403,51276,3182
3156452,40622,5069
3156502,51292,7446
3156601,51314,6877
3156700,51330,97838
3156809,51357,12675
3156908,51373,20028
3157005,51390,32462
3157104,51411,4958
3157203,51438,23800
3157252,40649,7302
3157278,41440,3283
3157302,51454,4437
3157336,41467,6518
3157377,41483,4336
3157401,51470,4858
3157500,51497,4174
3157609,51519,3556
3157658,41505,5419
3157708,51535,10506
3157807,51551,169122
3157906,51578,12820
3158003,51594,8736
3158102,51616,4422
3158201,51632,12342
3158300,51659,5950
3158409,51675,3208
3158508,51691,7403
3158607,51713,3365
3158706,51730,2279
3158805,51756,3989
3158904,51772,7699
3158953,40681,23775
3159001,51799,5658
3159100,51810,3757
3159209,51837,7038
3159308,51853,4192
3159357,40665,5971
3159407,51870,3326
3159506,51896,5046
3159605,51918,30943
3159704,51934,3289
3159803,51950,17279
3159902,51977,14052
3160009,51993,3591
3160108,52019,3948
3160207,52035,3924
3160306,52051,9328
3160405,52078,20332
3160454,41521,6282
3160504,52094,2127
3160603,52116,3039
3160702,52132,38413
3160801,52159,4164
3160900,52175,3580
3160959,41548,5388
3161007,52191,14208
3161056,41564,3194
3161106,52213,41333
3161205,52230,5968
3161304,52256,4623
3161403,52272,4003
3161502,52299,7089
3161601,52310,3952
3161650,41580,3176
3161700,52337,5238
3161809,52353,8719
3161908,52370,10462
3162005,52396,19242
3162104,52418,29120
3162203,52434,6245
3162252,40703,4882
3162302,52450,2995
3162401,52477,22574
3162450,41602,9468
3162500,52493,70023
3162559,40720,9127
3162575,40746,5187
3162609,52515,7249
3162658,40762,3927
3162708,52531,17267
3162807,52558,12751
3162906,52574,20538
3162922,41629,21338
3162948,41645,6561
3162955,40789,19682
3163003,52590,3952
3163102,52612,3850
3163201,52639,3671
3163300,52655,3341
3163409,52671,4742
3163508,52698,5313
3163607,52710,2763
3163706,52736,34593
3163805,52752,6052
3163904,52779,4253
3164001,52795,6466
3164100,52817,4756
3164209,52833,7142
3164308,52850,5647
3164407,52876,5697
3164431,42340,2752
3164472,42366,5566
3164506,52892,8909
3164605,52914,6160
3164704,52930,50982
3164803,52957,1868
3164902,52973,2073
3165008,52990,9090
3165107,53015,5901
3165206,53031,4875
3165305,53058,5694
3165404,53074,5546
3165503,53090,5012
3165537,40800,24998
3165552,42404,8993
3165560,40827,3583
3165578,40843,5426
3165602,53112,2436
3165701,53139,6810
3165800,53155,2225
3165909,53171,4578
3166006,53198,5556
3166105,53210,3252
3166204,53236,8231
3166303,53252,6606
3166402,53279,1884
3166501,53295,3681
3166600,53317,1097
3166709,53333,5683
3166808,53350,9285
3166907,53376,6547
3166956,42382,3966
3167004,53392,2085
3167103,53414,17279
3167202,53430,172853
3167301,53457,2529
3167400,53473,4875
3167509,53490,2989
3167608,53511,15695
3167707,53538,4477
3167806,53554,5044
3167905,53570,4228
3168002,53597,26339
3168051,42420,3651
3168101,53619,4568
3168200,53635,1859
3168309,53651,4754
3168408,53678,10738
3168507,53694,10536
3168606,53716,106397
3168705,53732,59677
3168804,53759,6924
3168903,53775,6246
3169000,53791,13421
3169059,42587,3970
3169109,53813,6374
3169208,53830,7194
3169307,53856,57063
3169356,41157,24233
3169406,53872,45139
3169505,53899,5480
3169604,53910,20217
3169703,53937,15812
3169802,53953,4578
3169901,53970,71751
3170008,53996,9432
3170057,40860,10455
3170107,54011,234036
3170206,54038,516587
3170305,54054,2645
3170404,54070,63073
3170438,42447,2989
3170479,42463,3483
3170503,54097,8613
3170529,40886,7720
3170578,40908,6088
3170602,54119,2592
3170651,42480,4201
3170701,54135,103144
3170750,42501,6554
3170800,54151,27026
3170909,54178,16194
3171006,54194,16627
3171030,42528,6916
3171071,42544,5075
3171105,54232,3033
3171154,42560,4778
3171204,54259,89307
3171303,54275,60384
3171402,54291,3670
3171501,54313,3291
3171600,54330,10237
3171709,54356,7270
3171808,54372,8918
3171907,54399,4584
3172004,54410,30349
3172103,54437,4338
3172202,54216,2468
